Sample,UMAP_1,UMAP_2
1C101,3.583175,9.122151
1C102,0.95098805,9.03514
1C103,10.149605,5.1064277
1C21,-0.5569006,8.2736435
1C22,-0.45500982,8.374408
1C23,-2.154338,7.584985
1C51,6.233547,7.5211563
1C52,7.362028,5.939135
1C53,2.0084703,9.215752
1C61,-0.47082448,8.323099
1C62,6.7472997,6.930909
1C64,7.3397903,6.152067
1C71,-2.1552794,7.6785808
1C72,-0.30923146,8.688774
1C73,-0.31961194,8.50129
2C101,3.9167354,9.314092
2C102,9.815291,5.210218
2C103,8.368321,6.011651
2C21,6.940908,6.4986315
2C22,7.657855,6.2898746
2C23,4.277655,9.236607
2C51,13.607848,5.8707843
2C52,12.813877,5.7941065
2C53,6.310742,6.981605
2C61,4.974571,8.706593
2C62,12.032494,5.885601
2C64,0.22498317,8.797111
2C71,-0.28108585,8.791363
2C72,10.126373,5.0713363
2C73,7.56615,5.833622
3C101,11.670567,6.271859
3C102,6.1156588,8.507031
3C103,11.438076,6.289801
3C21,0.88811,9.051288
3C22,-1.649185,8.068946
3C23,4.050567,9.29883
3C51,13.149601,5.6118307
3C52,13.010732,5.344105
3C53,-2.3970783,7.423934
3C61,-0.78083384,8.005524
3C62,5.982195,7.3721004
3C64,2.8040857,7.6041217
3C71,4.739073,8.731159
3C72,3.7015533,9.1419
3C73,10.323325,5.144471
4C101,9.313155,6.5440664
4C102,6.3788385,6.9771748
4C103,13.645051,6.139458
4C21,8.650859,6.4567237
4C22,-2.2409375,7.484956
4C23,2.1674464,8.849966
4C51,13.498726,6.18987
4C52,7.2219815,6.7862325
4C53,11.079011,5.949337
4C61,6.328321,7.10771
4C62,3.2889473,9.451881
4C64,9.031267,5.8065042
4C71,13.178565,5.71704
4C72,12.73661,5.2901845
5C101,7.0519876,7.2159724
5C102,5.91175,8.177414
5C103,10.566392,6.3169255
5C21,1.7804972,9.120535
5C22,-0.7426239,7.7690105
5C23,7.717887,6.024066
5C51,3.2025633,8.897823
5C52,7.4406543,5.9261255
5C53,-2.291865,7.2356124
5C61,4.321498,9.141389
5C62,12.358094,5.544305
5C64,2.3019068,9.307637
5C71,12.743965,5.248228
5C72,0.27248085,8.949644
5C73,2.171136,9.267627
6C101,6.148502,8.353163
6C102,-0.14780281,8.837112
6C103,-2.5710332,6.657631
6C21,13.446891,5.8468437
6C22,7.6463532,5.7849045
6C23,0.8828897,8.955317
6C51,7.5245533,6.1626425
6C52,3.1429641,9.475743
6C53,-2.5626066,6.679716
6C61,1.4569814,8.65898
6C62,-1.5730569,6.872259
6C64,1.3781453,8.779736
6C71,3.838502,9.274157
6C72,3.3401778,9.48443
6C73,-2.1550357,7.740797
MAI0210082022,11.0369005,6.0453763
MAI0214072022,11.895154,6.053562
MAI0215062022,12.952991,5.5632353
MAI0218052022,13.684024,6.0422025
MAI0225042022,12.068974,5.843178
MAI027032022,12.627535,5.403613
MAI0310082022,-1.5164207,6.9163575
MAI0313122021,13.190906,6.3926077
MAI0315062022,-2.7563689,5.9728093
MAI0318012022,12.868614,5.448496
MAI0322112021,13.321276,6.156697
MAI037032022,11.493575,5.7409534
MAI0714072022,2.361281,9.305877
MAI0715062022,-1.850164,6.4782124
MAI0728042022,9.100931,6.083236
MAI077032022,11.233444,5.919235
MAI1313072022,4.894935,8.599445
MAI1314062022,5.993069,7.972385
MAI1314122021,11.584432,5.512573
MAI1317052022,11.055152,6.01065
MAI1319012022,12.954789,5.508195
MAI1325112021,12.927409,5.310444
MAI1327042022,9.888367,6.689986
MAI138032022,7.0627537,6.8430314
MAI139082022,6.269186,8.21407
MAI1413072022,-2.6110682,6.5930004
MAI1414122021,6.5796547,7.431471
MAI1419012022,7.066115,6.8586135
MAI1427042022,11.265003,5.6936703
MAI148032022,11.093305,5.5040903
MAI149082022,2.3903642,8.146221
MAI1514122021,2.8063188,8.140655
MAI1912072022,6.7831492,6.9874797
MAI1913062022,6.0354466,7.477508
MAI1914122021,6.1975546,7.146556
MAI1916052022,11.265807,5.362917
MAI1919012022,11.181861,5.36806
MAI1924112021,11.919578,5.670198
MAI1925042022,10.767198,5.4186997
MAI198082022,9.365363,6.9693785
MAI199032022,9.686322,5.449641
MAI2212072022,3.5632784,8.629637
MAI2213062022,2.6206307,9.162899
MAI2214122021,10.52477,5.49534
MAI2216052022,4.653148,8.711276
MAI2219012022,9.917263,5.2335296
MAI2224112021,10.52322,5.6026144
MAI2228042022,7.983993,7.636657
MAI228082022,9.418318,6.836968
MAI229032022,3.4035366,9.533419
MAI23B12072022,7.7741723,6.0225015
MAI23B13062022,2.78189,9.293854
MAI23B15122021,7.6494856,6.1177764
MAI23B16052022,9.964575,5.1022377
MAI23B19012022,9.961811,5.146941
MAI23B24112021,9.514868,5.331931
MAI23B28042022,13.396988,5.6836
MAI23B8082022,0.28007945,8.494881
MAI23B9032022,7.773454,6.091716
MAI2614062022,0.6144582,8.268194
MAI2615122021,10.027123,5.1522446
MAI2616052022,12.667383,5.274395
MAI2619012022,10.233667,5.249664
MAI2624112021,9.986274,5.135453
MAI2628042022,3.687313,9.428171
MAI268032022,9.89371,5.1575627
MAI268082022,0.50486755,8.176302
MAI3010082022,9.448944,6.1974216
MAI3014062022,9.494415,6.807626
MAI3014072022,2.440551,9.334093
MAI3015122021,12.767835,5.216672
MAI3017052022,13.326786,6.3093243
MAI3028042022,5.0055737,8.602637
MAI309032022,9.629939,5.2920885
MAI3610082022,3.0270782,7.894618
MAI3613072022,2.8495326,7.8476987
MAI3615122021,13.165579,6.0727954
MAI3618012022,8.90684,6.4537725
MAI3618052022,12.175296,6.0016484
MAI3627042022,11.5293865,6.2937407
MAI367032022,11.150633,5.4224963
MAI3713072022,6.062704,8.525663
MAI3715122021,12.559276,5.4103518
MAI3717052022,9.0335655,6.4830728
MAI3725112021,12.671131,5.264169
MAI3727042022,9.664301,6.688293
MAI378032022,13.459878,5.9051986
MAI379082022,3.0631688,7.708881
MAI4013072022,7.981192,7.5478745
MAI4014062022,10.874955,5.2584186
MAI4016122021,12.913795,5.7464924
MAI4017052022,7.2563934,7.3506436
MAI4019012022,10.872665,6.2095137
