Sample,UMAP_1,UMAP_2
1C101,12.315808,14.105154
1C102,12.497577,13.115109
1C103,10.990425,14.966255
1C21,13.72592,10.380691
1C22,14.190734,11.510121
1C23,14.224566,10.793133
1C51,11.603128,13.766969
1C52,11.274805,13.925798
1C53,12.443141,13.275636
1C61,13.762965,10.751416
1C62,11.3714075,15.281992
1C64,11.439034,15.646666
1C71,14.404137,11.24883
1C72,14.341877,12.574745
1C73,14.286466,12.602937
2C101,12.411392,15.135235
2C102,10.589697,15.346923
2C103,10.97615,14.819575
2C21,11.331447,14.623642
2C22,11.259415,15.608987
2C23,12.30225,15.0159025
2C51,8.436674,14.616834
2C52,8.270506,14.563076
2C53,11.637825,15.343666
2C61,11.788636,13.935273
2C62,9.3140135,15.242008
2C64,14.56421,12.924568
2C71,14.523239,12.610913
2C72,10.332547,15.562796
2C73,11.518859,15.470489
3C101,8.918219,15.048183
3C102,13.225783,13.252961
3C103,9.175022,15.186359
3C21,14.066009,13.136839
3C22,14.324293,11.6164
3C23,12.134428,14.60806
3C51,8.617161,14.568519
3C52,8.731678,14.643038
3C53,14.892693,11.629733
3C61,13.816325,11.068056
3C62,11.898112,15.195782
3C64,13.252832,13.233471
3C71,12.400188,14.362442
3C72,12.501549,14.777579
3C73,10.97168,15.4867735
4C101,11.827508,15.457318
4C102,11.652857,15.002342
4C103,9.034964,12.26895
4C21,11.163039,14.128684
4C22,14.561496,11.404266
4C23,12.25523,12.682569
4C51,8.485493,14.513472
4C52,11.069492,14.37412
4C53,11.754139,8.780356
4C61,11.521374,15.591842
4C62,12.617771,14.762253
4C64,10.800633,14.830482
4C71,9.068148,14.592783
4C72,9.096022,14.908446
5C101,11.760483,14.476186
5C102,11.526171,10.609664
5C103,9.100205,11.775472
5C21,12.519631,13.181713
5C22,14.321992,11.409247
5C23,11.047819,15.325732
5C51,12.800148,9.141728
5C52,11.2101555,15.002033
5C53,13.909884,10.410614
5C61,12.257403,14.689733
5C62,8.83768,12.1534
5C64,12.40286,13.57237
5C71,9.3973465,14.952113
5C72,14.277921,12.6864805
5C73,12.416807,13.560705
6C101,11.968729,15.280933
6C102,14.765489,12.641278
6C103,14.152641,10.755355
6C21,8.504737,14.581039
6C22,10.995743,15.499319
6C23,14.202302,12.882108
6C51,11.195383,14.454601
6C52,12.643215,14.791722
6C53,14.337393,10.949243
6C61,13.832825,13.117748
6C62,12.225527,10.99171
6C64,13.789488,13.180019
6C71,12.446283,14.900291
6C72,12.909704,14.703409
6C73,14.688765,11.603151
MAI0210082022,9.588452,11.593134
MAI0214072022,10.3762665,14.486808
MAI0215062022,8.57105,14.138668
MAI0218052022,8.786912,13.666564
MAI0225042022,9.899713,14.408034
MAI027032022,9.591632,14.720324
MAI0310082022,12.866448,9.357904
MAI0313122021,8.502374,14.028197
MAI0315062022,13.475031,9.968622
MAI0318012022,9.429159,14.676037
MAI0322112021,8.388954,14.454564
MAI037032022,9.915121,14.566015
MAI0714072022,12.535312,13.843065
MAI0715062022,12.566884,9.169756
MAI0728042022,10.586282,14.247601
MAI077032022,9.148912,13.418981
MAI1313072022,12.216674,15.105948
MAI1314062022,11.597611,13.516596
MAI1314122021,9.743354,15.250066
MAI1317052022,10.698582,14.4431095
MAI1319012022,8.650117,14.159257
MAI1325112021,8.786777,14.466608
MAI1327042022,9.168899,12.602704
MAI138032022,11.642255,14.969236
MAI139082022,11.594481,9.386235
MAI1413072022,14.398199,10.949557
MAI1414122021,11.201107,14.160893
MAI1419012022,11.25847,14.694594
MAI1427042022,10.018595,14.716323
MAI148032022,10.091608,14.875411
MAI149082022,12.457711,8.918316
MAI1514122021,11.491788,12.132141
MAI1912072022,11.25908,14.011111
MAI1913062022,12.013196,14.551056
MAI1914122021,11.32745,14.5535345
MAI1916052022,9.500833,14.747474
MAI1919012022,9.1010685,13.523191
MAI1924112021,8.545265,12.7355
MAI1925042022,9.2964325,11.843891
MAI198082022,10.037159,10.986145
MAI199032022,10.341585,14.942839
MAI2212072022,12.509432,14.274423
MAI2213062022,12.34105,13.76178
MAI2214122021,9.86032,15.379731
MAI2216052022,11.3998,13.591537
MAI2219012022,9.877305,15.462147
MAI2224112021,9.2864065,11.587266
MAI2228042022,9.98635,11.94387
MAI228082022,9.665506,12.179635
MAI229032022,12.555004,14.849796
MAI23B12072022,11.3384695,15.54292
MAI23B13062022,12.802734,14.180514
MAI23B15122021,11.324024,15.467901
MAI23B16052022,10.214224,15.04721
MAI23B19012022,10.13675,15.292612
MAI23B24112021,10.584062,15.13513
MAI23B28042022,9.019955,13.800478
MAI23B8082022,12.981676,9.252684
MAI23B9032022,10.865121,14.892202
MAI2614062022,12.862629,9.328515
MAI2615122021,9.820792,15.335911
MAI2616052022,9.175964,14.676091
MAI2619012022,9.817091,15.421057
MAI2624112021,10.244315,15.217979
MAI2628042022,12.524523,14.523641
MAI268032022,10.11647,15.367889
MAI268082022,12.322495,8.985042
MAI3010082022,10.749309,14.803761
MAI3014062022,11.884204,8.820787
MAI3014072022,12.670809,14.556661
MAI3015122021,9.171196,14.540377
MAI3017052022,8.580354,13.742239
MAI3028042022,11.867009,14.396742
MAI309032022,10.223942,15.32598
MAI3610082022,11.667583,12.120039
MAI3613072022,12.180587,13.653317
MAI3615122021,8.899681,14.238559
MAI3618012022,10.458476,14.5578575
MAI3618052022,8.674276,13.650451
MAI3627042022,9.02344,12.9488
MAI367032022,9.531314,15.173264
MAI3713072022,12.257463,14.158644
MAI3715122021,9.291554,14.465791
MAI3717052022,9.879859,14.099757
MAI3725112021,9.294126,14.656073
MAI3727042022,9.114123,12.743887
MAI378032022,9.099361,14.805543
MAI379082022,11.945377,9.129746
MAI4013072022,12.328472,8.951464
