CurrentTaxID,ScientificName,TaxonomicRank,TaxSuperKingdom,TaxPhylum,TaxClass,TaxOrder,TaxFamily,TaxGenus,TaxSpeciesGroup,TaxSpecies
7,Azorhizobium caulinodans,species,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Azorhizobium,,Azorhizobium caulinodans
9,Buchnera aphidicola,species,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,,Buchnera aphidicola
11,Cellulomonas gilvus,species,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Cellulomonas,,Cellulomonas gilvus
24,Shewanella putrefaciens,species,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,,Shewanella putrefaciens
34,Myxococcus xanthus,species,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcus,,Myxococcus xanthus
35,Corallococcus macrosporus,species,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Corallococcus,,Corallococcus macrosporus
41,Stigmatella aurantiaca,species,Bacteria,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Stigmatella,,Stigmatella aurantiaca
43,Cystobacter fuscus,species,Bacteria,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Cystobacter,,Cystobacter fuscus
48,Archangium gephyra,species,Bacteria,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Archangium,,Archangium gephyra
52,Chondromyces crocatus,species,Bacteria,Myxococcota,,Polyangiales,Polyangiaceae,Chondromyces,,Chondromyces crocatus
56,Sorangium cellulosum,species,Bacteria,Myxococcota,,Polyangiales,Polyangiaceae,Sorangium,,Sorangium cellulosum
63,Vitreoscilla filiformis,species,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,,Vitreoscilla filiformis
69,Lysobacter enzymogenes,species,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,Lysobacter enzymogenes
94,Stella humosa,species,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Stellaceae,Stella,,Stella humosa
106,Runella slithyformis,species,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomaceae,Runella,,Runella slithyformis
114,Gemmata obscuriglobus,species,Bacteria,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,,Gemmata obscuriglobus
119,Rubinisphaera brasiliensis,species,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,,Rubinisphaera brasiliensis
125,Pirellula staleyi,species,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,,Pirellula staleyi
128,Isosphaera pallida,species,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Isosphaera,,Isosphaera pallida
134,Methylocystis parvus,species,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,,Methylocystis parvus
172,Leptospira biflexa,species,Bacteria,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,,Leptospira biflexa
180,Leptospirillum ferrooxidans,species,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum sp. Group I,Leptospirillum ferrooxidans
192,Azospirillum brasilense,species,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,,Azospirillum brasilense
193,Azospirillum lipoferum,species,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,,Azospirillum lipoferum
238,Elizabethkingia meningoseptica,species,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,,Elizabethkingia meningoseptica
246,Chryseobacterium balustinum,species,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,Chryseobacterium balustinum
247,Empedobacter brevis,species,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Empedobacter,,Empedobacter brevis
250,Chryseobacterium gleum,species,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,Chryseobacterium gleum
253,Chryseobacterium indologenes,species,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,Chryseobacterium indologenes
254,Chryseobacterium indoltheticum,species,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,Chryseobacterium indoltheticum
256,Myroides odoratus,species,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,,Myroides odoratus
258,Sphingobacterium spiritivorum,species,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,Sphingobacterium spiritivorum
259,Sphingobacterium thalpophilum,species,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,Sphingobacterium thalpophilum
266,Paracoccus denitrificans,species,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,,Paracoccus denitrificans
277,Meiothermus ruber,species,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Meiothermus,,Meiothermus ruber
280,Xanthobacter autotrophicus,species,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Xanthobacter,,Xanthobacter autotrophicus
285,Comamonas testosteroni,species,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,,Comamonas testosteroni
287,Pseudomonas aeruginosa,species,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,Pseudomonas aeruginosa
