sample_id,original_id,group,uid,unclassified_reads,classified_reads,classified_pct,country,region,collection_site,water_type,latitude,longitude,collection_date
MAI0322112021,2021-Nov-MAI03,PUC,PUC-S001,7470378,6753121,47.48,Chile,"Maipo river region, Chile",MAI-03,Creek,-33.63439,-70.354806,11/22/21
MAI1325112021,2021-Nov-MAI13,PUC,PUC-S002,11305408,2749257,19.56,Chile,"Maipo river region, Chile",MAI-13,River,-33.80142,-70.886922,11/25/21
MAI1924112021,2021-Nov-MAI19,PUC,PUC-S003,7840885,3190415,28.92,Chile,"Maipo river region, Chile",MAI-19,Irrigation Canal,-33.707403,-71.038784,11/24/21
MAI2224112021,2021-Nov-MAI22,PUC,PUC-S004,8111448,4457165,35.46,Chile,"Maipo river region, Chile",MAI-22,Irrigation Canal,-33.690903,-71.052725,11/24/21
MAI23B24112021,2021-Nov-MAI23B,PUC,PUC-S005,12483872,5814373,31.78,Chile,"Maipo river region, Chile",MAI-23B,Irrigation Canal,-33.690662,-71.07774,11/24/21
MAI2624112021,2021-Nov-MAI26,PUC,PUC-S006,9512707,4610097,32.64,Chile,"Maipo river region, Chile",MAI-26,Irrigation Canal,-33.677117,-71.182877,11/24/21
MAI3725112021,2021-Nov-MAI37,PUC,PUC-S007,8896679,4608531,34.12,Chile,"Maipo river region, Chile",MAI-11B,Irrigation Canal,-33.684629,-70.692899,11/25/21
MAI5624112021,2021-Nov-MAI56,PUC,PUC-S008,8211217,4050947,33.04,Chile,"Maipo river region, Chile",MAI-24B,Irrigation Canal,-33.693386,-71.046132,11/24/21
MAI0313122021,2021-Dec-MAI03,PUC,PUC-S009,9018846,6596213,42.24,Chile,"Maipo river region, Chile",MAI-03,Creek,-33.63439,-70.354806,12/13/21
MAI1314122021,2021-Dec-MAI13,PUC,PUC-S010,11748334,4154030,26.12,Chile,"Maipo river region, Chile",MAI-13,River,-33.80142,-70.886922,12/14/21
MAI1414122021,2021-Dec-MAI14,PUC,PUC-S011,15267856,6421392,29.61,Chile,"Maipo river region, Chile",MAI-14,Irrigation Canal,-33.787603,-70.893005,12/14/21
MAI1514122021,2021-Dec-MAI15,PUC,PUC-S012,16487670,10463515,38.82,Chile,"Maipo river region, Chile",MAI-15,Irrigation Canal,-33.76604,-70.901514,12/14/21
MAI1914122021,2021-Dec-MAI19,PUC,PUC-S013,13400574,6016292,30.98,Chile,"Maipo river region, Chile",MAI-19,Irrigation Canal,-33.707403,-71.038784,12/14/21
MAI2214122021,2021-Dec-MAI22,PUC,PUC-S014,10263572,6505662,38.8,Chile,"Maipo river region, Chile",MAI-22,Irrigation Canal,-33.690903,-71.052725,12/14/21
MAI23B15122021,2021-Dec-MAI23B,PUC,PUC-S015,8751317,3875827,30.69,Chile,"Maipo river region, Chile",MAI-23B,Irrigation Canal,-33.690662,-71.07774,12/15/21
MAI2615122021,2021-Dec-MAI26,PUC,PUC-S016,9491697,4266935,31.01,Chile,"Maipo river region, Chile",MAI-26,Irrigation Canal,-33.677117,-71.182877,12/15/21
MAI3015122021,2021-Dec-MAI30,PUC,PUC-S017,9721230,5059111,34.23,Chile,"Maipo river region, Chile",MAI-30,Irrigation Canal,-33.709537,-70.535945,12/15/21
MAI3615122021,2021-Dec-MAI36,PUC,PUC-S018,11888724,4542037,27.64,Chile,"Maipo river region, Chile",MAI-10B,Irrigation Canal,-33.690703,-70.677431,12/15/21
MAI3715122021,2021-Dec-MAI37,PUC,PUC-S019,11552314,4619838,28.57,Chile,"Maipo river region, Chile",MAI-11B,Irrigation Canal,-33.684629,-70.692899,12/15/21
MAI4016122021,2021-Dec-MAI40,PUC,PUC-S020,11823722,5654376,32.35,Chile,"Maipo river region, Chile",MAI-12B,Irrigation Canal,-33.705346,-70.723411,12/16/21
