Sample,UMAP_1,UMAP_2
1C101,2.371199,0.29719022
1C102,2.3072224,0.19662066
1C103,2.391866,0.20534186
1C21,-0.08543955,0.6519702
1C22,1.6547494,0.12030034
1C23,2.1828976,0.20006384
1C51,-0.5449408,0.69550735
1C52,-0.75301284,0.6907998
1C53,2.3681273,0.54150695
1C61,1.3142809,0.16709255
1C62,1.3021443,0.08558497
1C64,1.5091641,0.16634567
1C71,1.8917557,-0.06578324
1C72,2.670972,0.51197356
1C73,1.7263918,-0.055927545
2C101,1.4493152,0.011202265
2C102,1.5568016,-0.046023842
2C103,1.7760943,-0.08649405
2C21,-0.1323222,0.65585744
2C22,2.8184073,0.6137197
2C23,2.9431803,0.44537777
2C51,-0.9747753,0.8530989
2C52,-0.8497134,0.7677952
2C53,2.6204398,0.6584746
2C61,6.7615085,8.088564
2C62,1.7660025,0.0045167576
2C64,5.847112,2.2526648
2C71,1.4797717,0.02720385
2C72,2.889774,0.682734
2C73,1.4344789,-0.009215572
3C101,3.5090642,0.33990893
3C102,11.24895,-1.2736596
3C103,3.6407313,0.4004038
3C21,-0.18939327,0.7167804
3C22,6.178003,3.6589243
3C23,6.3004518,2.9223225
3C51,-0.7730445,0.68702877
3C52,-0.6310934,0.61669135
3C53,6.0492415,3.23378
3C61,3.6388445,0.4176106
3C62,2.296511,0.1982817
3C64,11.398738,-1.1361607
3C71,3.039234,0.4140138
3C72,3.2298088,0.4771944
3C73,0.6797729,0.33248276
4C101,10.33024,-0.15453519
4C102,5.6811824,2.0580027
4C21,-0.68139106,0.7100017
4C22,7.154181,3.3592405
4C23,7.5684533,3.6826072
4C51,-0.74545974,0.7139734
4C52,-0.3050183,0.74685174
4C53,-0.788878,0.76547855
4C61,3.3567882,0.9321739
4C62,3.4312854,0.8611527
4C64,3.5251536,0.8408459
4C71,3.5855258,0.9739216
4C72,0.3358909,0.46503848
5C101,3.4104514,0.7873689
5C102,10.547266,-1.435715
5C103,10.606654,-1.4006608
5C21,5.7807183,2.1776805
5C22,3.0193133,0.7821451
5C51,-0.79747957,0.7418482
5C52,6.1911907,1.8474671
5C53,6.0165534,2.6555228
5C61,9.950782,-0.32607687
5C64,3.5173612,0.8799285
5C71,3.091118,0.8683673
5C72,0.8285418,0.21463855
